open,close,high,low,volume,datetime
9.83,9.82,9.83,9.82,26,1654781400000
9.83,9.83,9.84,9.82,1997,1654867800000
9.83,9.83,9.83,9.82,3865,1655127000000
9.83,9.82,9.83,9.82,681,1655213400000
9.82,9.83,9.83,9.82,1007,1655299800000
9.82,9.81,9.83,9.81,4531,1655386200000
9.84,9.81,9.84,9.81,5467,1655472600000
9.83,9.83,9.83,9.81,402,1655818200000
9.81,9.82,9.83,9.81,502,1655904600000
9.82,9.83,9.83,9.82,653,1655991000000
9.81,9.82,9.83,9.81,5,1656077400000
9.82,9.84,9.85,9.82,1880,1656336600000
9.83,9.85,9.85,9.83,1137,1656423000000
9.84,9.85,9.85,9.84,28,1656509400000
9.83,9.83,9.85,9.83,1146,1656595800000
9.84,9.83,9.85,9.83,928,1656682200000
9.85,9.84,9.85,9.82,2893,1657027800000
9.82,9.84,9.85,9.82,537,1657114200000
9.85,9.83,9.85,9.82,2973,1657200600000
9.83,9.83,9.84,9.83,535,1657287000000
9.83,9.84,9.85,9.83,2342,1657546200000
9.83,9.83,9.85,9.83,74,1657632600000
9.83,9.85,9.85,9.83,843,1657719000000
9.85,9.85,9.85,9.83,402,1657805400000
9.83,9.85,9.86,9.83,1243,1657891800000
9.83,9.85,9.85,9.83,21725,1658151000000
9.83,9.84,9.85,9.82,1503,1658237400000
9.85,9.85,9.86,9.84,1880,1658323800000
9.85,9.86,9.88,9.85,45015,1658410200000
9.87,9.87,9.88,9.86,7020,1658496600000
9.88,9.87,9.88,9.86,838,1658755800000
9.86,9.87,9.88,9.86,1619,1658842200000
9.87,9.86,9.88,9.86,1203,1658928600000
9.86,9.87,9.88,9.86,2158,1659015000000
9.86,9.87,9.88,9.86,781,1659101400000
9.87,9.87,9.87,9.86,920,1659360600000
9.87,9.88,9.9,9.87,7296,1659447000000
9.88,9.89,9.89,9.87,2782,1659533400000
9.9,9.87,9.9,9.87,10739,1659619800000
9.88,9.89,9.89,9.87,806,1659706200000
9.89,9.88,9.89,9.87,529,1659965400000
9.88,9.88,9.89,9.87,1112,1660051800000
9.89,9.88,9.89,9.87,1493,1660138200000
9.89,9.88,9.89,9.87,1489,1660224600000
9.88,9.88,9.89,9.88,1532,1660311000000
9.88,9.89,9.89,9.88,7873,1660570200000
9.88,9.89,9.89,9.88,103,1660656600000
9.89,9.89,9.89,9.87,927,1660743000000
9.88,9.87,9.88,9.87,1258,1660829400000
9.87,9.88,9.89,9.87,14941,1660915800000
9.87,9.87,9.88,9.87,126,1661175000000
9.87,9.88,9.88,9.87,518,1661261400000
9.87,9.87,9.89,9.87,6280,1661347800000
9.89,9.9,9.9,9.88,2192,1661434200000
9.89,9.91,9.91,9.89,1029,1661520600000
9.91,9.9,9.92,9.89,5894,1661779800000
9.91,9.91,9.91,9.89,1034,1661866200000
9.9,9.91,9.91,9.89,3169,1661952600000
9.89,9.89,9.91,9.89,780,1662039000000
9.89,9.9,9.9,9.89,126,1662125400000
9.9,9.9,9.91,9.9,771,1662471000000
9.91,9.92,9.92,9.91,1225,1662557400000
9.91,9.92,9.92,9.9,4046,1662643800000
9.91,9.91,9.92,9.91,523,1662730200000
9.91,9.91,9.92,9.9,12561,1662989400000
9.91,9.93,9.93,9.91,13334,1663075800000
9.92,9.92,9.93,9.92,236,1663162200000
9.91,9.93,9.94,9.91,1824,1663248600000
9.93,9.93,9.93,9.92,730,1663335000000
9.93,9.93,9.94,9.92,12190,1663594200000
9.93,9.93,9.94,9.92,2207,1663680600000
9.93,9.94,9.94,9.93,3508,1663767000000
9.93,9.94,9.95,9.93,5944,1663853400000
9.94,9.92,9.94,9.91,4440,1663939800000
9.92,9.92,9.93,9.91,3997,1664199000000
9.94,9.93,9.94,9.92,1126,1664285400000
9.94,9.93,9.94,9.92,157,1664371800000
9.92,9.91,9.93,9.91,17623,1664458200000
9.91,9.93,9.93,9.91,231,1664544600000
9.93,9.94,9.94,9.93,2918,1664803800000
9.94,9.94,9.95,9.92,18079,1664890200000
9.95,9.95,9.95,9.94,4126,1664976600000
9.95,9.93,9.95,9.93,5379,1665063000000
9.93,9.95,9.95,9.93,444,1665149400000
9.95,9.94,9.96,9.94,22,1665408600000
9.94,9.96,9.96,9.93,2512,1665495000000
